Board State,Action Probabilities,Player
"0,-1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,-1,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0","0.03869731800766284,0,0.06628352490421456,0.014942528735632184,0.014942528735632184,0,0,0.014942528735632184,0.0421455938697318,0.014942528735632184,0,0.014942528735632184,0.014942528735632184,0,0.014942528735632184,0.014942528735632184,0.014942528735632184,0.014559386973180077,0.014942528735632184,0,0,0.04865900383141762,0.014559386973180077,0,0,0.04865900383141762,0.11264367816091954,0.014942528735632184,0.014942528735632184,0.014942528735632184,0.014942528735632184,0.038314176245210725,0.014942528735632184,0.014942528735632184,0.014942528735632184,0.014942528735632184,0.014942528735632184,0.014942528735632184,0.1053639846743295,0.014942528735632184,0.050191570881226055,0,0.01685823754789272,0.014942528735632184,0.014942528735632184,0.014559386973180077,0.014942528735632184,0.014942528735632184,0.014942528735632184",-1
"0,-1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,-1,0,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0","0.0025399129172714078,0,0.02830188679245283,0.0025399129172714078,0.0025399129172714078,0,0,0.0025399129172714078,0.0025399129172714078,0.0025399129172714078,0,0.038098693759071114,0.0025399129172714078,0,0.0025399129172714078,0.02902757619738752,0.0025399129172714078,0.02830188679245283,0.0025399129172714078,0,0,0.0025399129172714078,0.0025399129172714078,0,0,0.738388969521045,0,0.0025399129172714078,0.030841799709724237,0.0025399129172714078,0.0025399129172714078,0.0025399129172714078,0.0025399129172714078,0.0025399129172714078,0.0025399129172714078,0.0025399129172714078,0.0025399129172714078,0.0025399129172714078,0.0025399129172714078,0.0025399129172714078,0.0025399129172714078,0,0.0025399129172714078,0.0025399129172714078,0.0025399129172714078,0.0025399129172714078,0.02830188679245283,0.0025399129172714078,0.0025399129172714078",1
"0,-1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,-1,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0","0.021120497999110716,0,0.023121387283236993,0.025122276567363273,0.021120497999110716,0,0,0.021120497999110716,0.0213428190306803,0.025122276567363273,0,0.021120497999110716,0.021120497999110716,0,0.021120497999110716,0.021120497999110716,0.021120497999110716,0.021120497999110716,0.021120497999110716,0,0,0.0213428190306803,0.028901734104046242,0,0,0,0,0.023121387283236993,0.021120497999110716,0.021120497999110716,0.021120497999110716,0.021120497999110716,0.026900844819919965,0.021120497999110716,0.021120497999110716,0.021120497999110716,0.028901734104046242,0.021120497999110716,0.12583370386838594,0.025122276567363273,0.021120497999110716,0,0.021120497999110716,0.08159181858603824,0.026900844819919965,0.028901734104046242,0.023121387283236993,0.021120497999110716,0.021120497999110716",-1
"0,-1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,-1,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0","0.04356435643564356,0,0.005280528052805281,0.005280528052805281,0.04521452145214522,0,0,0.0429042904290429,0.051815181518151815,0.04422442244224423,0,0.052805280528052806,0.005280528052805281,0,0.005280528052805281,0.046534653465346534,0.005280528052805281,0.005280528052805281,0.005280528052805281,0,0,0.005280528052805281,0.048184818481848184,0,0,0,0,0.045874587458745876,0.005280528052805281,0.05478547854785479,0.005280528052805281,0.005280528052805281,0.05577557755775578,0.005280528052805281,0.005280528052805281,0.005280528052805281,0.04719471947194719,0.005280528052805281,0,0.07788778877887789,0.04884488448844884,0,0.05115511551155116,0.005280528052805281,0.005280528052805281,0.0504950495049505,0.05412541254125412,0.005280528052805281,0.04356435643564356",1
"0,-1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,-1,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,-1,0,0,0,0,0,0,0","0.002961865975564606,0,0.002961865975564606,0.002961865975564606,0.002961865975564606,0,0,0.002961865975564606,0.002961865975564606,0.030729359496482783,0,0.002961865975564606,0.002961865975564606,0,0.002961865975564606,0.002961865975564606,0.002961865975564606,0.002961865975564606,0.02850796001480933,0,0,0.002961865975564606,0.002961865975564606,0,0,0,0,0.002961865975564606,0.002961865975564606,0.002961865975564606,0.02850796001480933,0.002961865975564606,0.7375046279155868,0.002961865975564606,0.002961865975564606,0.002961865975564606,0.002961865975564606,0.002961865975564606,0,0,0.002961865975564606,0,0.002961865975564606,0.002961865975564606,0.03332099222510181,0.030729359496482783,0.002961865975564606,0.027767493520918177,0.002961865975564606",-1
"0,-1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,-1,0,0,-1,-1,1,-1,0,0,0,0,0,-1,0,0,0,0,0,-1,1,0,-1,0,0,0,0,0,0,0","0.019066846119336026,0,0.01727231942575146,0.019066846119336026,0.019066846119336026,0,0,0.019066846119336026,0.01727231942575146,0.02086137281292059,0,0.01727231942575146,0.01727231942575146,0,0.01727231942575146,0.019066846119336026,0.024226110363391656,0.01727231942575146,0.01727231942575146,0,0,0.024226110363391656,0.02265589950650516,0,0,0,0,0.019066846119336026,0.02086137281292059,0.02086137281292059,0.039030955585464336,0.08030506953790938,0,0.019066846119336026,0.10071781067743382,0.01727231942575146,0.019066846119336026,0.2048003589053387,0,0,0.01727231942575146,0,0.019066846119336026,0.01727231942575146,0.019066846119336026,0.02086137281292059,0.01727231942575146,0.019066846119336026,0.02086137281292059",1
"0,-1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,-1,0,0,-1,-1,1,-1,0,0,0,0,0,-1,0,0,0,0,1,-1,1,0,-1,0,0,0,0,0,0,0","0.020414201183431954,0,0.001183431952662722,0.31568047337278105,0.001183431952662722,0,0,0.001183431952662722,0.001183431952662722,0.001183431952662722,0,0.001183431952662722,0.001183431952662722,0,0.001183431952662722,0.015384615384615385,0.019230769230769232,0.015976331360946745,0.001183431952662722,0,0,0.001183431952662722,0.001183431952662722,0,0,0,0,0.001183431952662722,0.001183431952662722,0.01893491124260355,0.001183431952662722,0.4695266272189349,0,0.001183431952662722,0.022781065088757397,0.001183431952662722,0.020118343195266272,0,0,0,0.01982248520710059,0,0.001183431952662722,0.001183431952662722,0.001183431952662722,0.001183431952662722,0.016568047337278107,0.001183431952662722,0.020710059171597635",-1
"0,-1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,-1,0,0,-1,-1,1,-1,0,0,0,0,-1,-1,0,0,0,0,1,-1,1,0,-1,0,0,0,0,0,0,0","0.031319358816276205,0,0.031072749691738594,0.031072749691738594,0.031072749691738594,0,0,0.031072749691738594,0.031072749691738594,0.031072749691738594,0,0.031072749691738594,0.031072749691738594,0,0.031072749691738594,0.031072749691738594,0.031072749691738594,0.031072749691738594,0.031072749691738594,0,0,0.03625154130702836,0.031072749691738594,0,0,0,0,0.031072749691738594,0.031072749691738594,0.031072749691738594,0.031072749691738594,0,0,0.031072749691738594,0.031072749691738594,0.031072749691738594,0.031072749691738594,0,0,0,0.031319358816276205,0,0.031072749691738594,0.031072749691738594,0.031072749691738594,0.031072749691738594,0.031072749691738594,0.031072749691738594,0.031072749691738594",1
"0,-1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,-1,1,0,-1,-1,1,-1,0,0,0,0,-1,-1,0,0,0,0,1,-1,1,0,-1,0,0,0,0,0,0,0","0.023700305810397553,0,0.052752293577981654,0.016819571865443424,0.052752293577981654,0,0,0.052752293577981654,0.052752293577981654,0.023318042813455658,0,0.023318042813455658,0.023700305810397553,0,0.0011467889908256881,0.052752293577981654,0.024464831804281346,0.023318042813455658,0.023318042813455658,0,0,0,0.052752293577981654,0,0,0,0,0.052752293577981654,0.052752293577981654,0.023700305810397553,0.023318042813455658,0,0,0.0011467889908256881,0.022553516819571864,0.052752293577981654,0.024464831804281346,0,0,0,0.024464831804281346,0,0.052752293577981654,0.02408256880733945,0.024464831804281346,0.023700305810397553,0.020642201834862386,0.02408256880733945,0.052752293577981654",-1
"0,-1,-1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,-1,1,0,-1,-1,1,-1,0,0,0,0,-1,-1,0,0,0,0,1,-1,1,0,-1,0,0,0,0,0,0,0","0.03680981595092025,0,0,0.028757668711656442,0.028757668711656442,0,0,0.028757668711656442,0.025690184049079755,0.03412576687116564,0,0.025690184049079755,0.03144171779141104,0,0.025690184049079755,0.04677914110429448,0.04447852760736196,0.04677914110429448,0.025690184049079755,0,0,0,0.025690184049079755,0,0,0,0,0.03144171779141104,0.03949386503067485,0.03144171779141104,0.025690184049079755,0,0,0.041794478527607364,0.028757668711656442,0.041794478527607364,0.03680981595092025,0,0,0,0.041794478527607364,0,0.049079754601226995,0.025690184049079755,0.025690184049079755,0.03144171779141104,0.03412576687116564,0.03412576687116564,0.025690184049079755",1
